TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE,hcp_tipoff,MODEL_PREDICTION,pred_0,pred_1,pred_confidence,shap_list
Detroit Pistons,Brooklyn Nets,2023-12-26,6.5,0.0,0.5160478647093085,0.4839521352906915,Low,"{'hcp_tipoff': -0.14064525169211983, 'DAYS_REST_HOME': -0.11293422609409062, 'TS_PCT_L10_HOME': 0.07991586619407387, 'REB_PCT_AWAY': 0.06290416848030375, 'TM_TOV_PCT_L10_AWAY': -0.060879222550220366, 'OFF_RATING_DIFF': 0.05134860824454055, 'DEF_RATING_DIFF': -0.03828964953504421, 'DAYS_REST_AWAY': -0.0355945153021978, 'PIE_HOME': 0.03132107411204606, 'REB_PCT_HOME': 0.02956186092569424, 'E_NET_RATING_DIFF': 0.028130686792848133, 'NET_RATING_DIFF': 0.02739617700731804, 'OREB_PCT_HOME': 0.024348365233277075, 'DEF_RATING_L10_DIFF': -0.021817660534831123, 'W_PCT_L10_HOME': -0.01839991684340104, 'E_NET_RATING_L10_DIFF': 0.017090018494787734, 'W_PCT_L10_AWAY': -0.016050831919360617, 'AST_PCT_HOME': -0.015625144778808643, 'DREB_PCT_L10_AWAY': 0.009821765965365738, 'OREB_PCT_L10_AWAY': 0.006100471668045733, 'TS_PCT_L10_AWAY': 0.005403782344608917, 'TM_TOV_PCT_AWAY': -0.0039316961956534875, 'OREB_PCT_AWAY': 0.003901102277637797, 'DREB_PCT_HOME': 0.0034141113651076967, 'E_PACE_L10_DIFF': -0.003334136253204799, 'EFG_PCT_AWAY': -0.002634939634147658, 'REB_PCT_L10_AWAY': 1.615111881942095e-06, 'W_PCT_HOME': -0.0, 'TM_TOV_PCT_HOME': 0.0, 'EFG_PCT_HOME': -0.0, 'TS_PCT_HOME': -0.0, 'elo_HOME': -0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': -0.0, 'DREB_PCT_L10_HOME': -0.0, 'REB_PCT_L10_HOME': -0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': -0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': 0.0, 'TS_PCT_AWAY': -0.0, 'PIE_AWAY': 0.0, 'elo_AWAY': 0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': -0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': -0.0, 'AST_TO_DIFF': -0.0, 'AST_TO_L10_DIFF': -0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': -0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': 0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': 0.0}"
Washington Wizards,Orlando Magic,2023-12-26,7.5,0.0,0.573072714761492,0.4269272852385079,Good,"{'hcp_tipoff': -0.15608218354225478, 'DEF_RATING_DIFF': -0.1357425319710846, 'OREB_PCT_HOME': -0.1018321059751581, 'REB_PCT_AWAY': 0.10065904301476195, 'REB_PCT_HOME': -0.08246699963127416, 'TM_TOV_PCT_L10_AWAY': -0.05077143198900159, 'DAYS_REST_HOME': 0.04556995088007165, 'DAYS_REST_AWAY': 0.03704735266147119, 'DEF_RATING_L10_DIFF': -0.03578677258441836, 'NET_RATING_DIFF': 0.027607678343984338, 'E_NET_RATING_DIFF': 0.02633171442718274, 'PIE_HOME': 0.021315653214461754, 'DREB_PCT_L10_AWAY': -0.021275471899916534, 'TS_PCT_L10_HOME': 0.02120581170921156, 'E_PACE_L10_DIFF': -0.019344672927373293, 'W_PCT_L10_AWAY': -0.016050831919360617, 'E_NET_RATING_L10_DIFF': 0.011392697045057545, 'W_PCT_L10_HOME': -0.008661213344120311, 'EFG_PCT_AWAY': -0.00759347411564699, 'DREB_PCT_HOME': -0.006396075861252886, 'AST_PCT_HOME': -0.005662855920922022, 'TS_PCT_L10_AWAY': 0.004230245587071076, 'OREB_PCT_L10_AWAY': -0.0031928856189526755, 'OREB_PCT_AWAY': 0.0026670101687189807, 'OFF_RATING_DIFF': 0.0024743649978217043, 'TM_TOV_PCT_AWAY': 0.002364054317802862, 'REB_PCT_L10_AWAY': 4.325247680646398e-06, 'W_PCT_HOME': -0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': 0.0, 'TS_PCT_HOME': 0.0, 'elo_HOME': -0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': -0.0, 'DREB_PCT_L10_HOME': -0.0, 'REB_PCT_L10_HOME': -0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': -0.0, 'W_PCT_AWAY': 0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': 0.0, 'TS_PCT_AWAY': -0.0, 'PIE_AWAY': 0.0, 'elo_AWAY': 0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': -0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': -0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': -0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': 0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': 0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': 0.0}"
Chicago Bulls,Atlanta Hawks,2023-12-26,-1.0,0.0,0.502591956770329,0.497408043229671,Low,"{'DAYS_REST_HOME': -0.11293422609409062, 'AST_PCT_HOME': -0.07539887792612836, 'TM_TOV_PCT_L10_AWAY': -0.06593311783082967, 'TS_PCT_L10_HOME': 0.058388846216291077, 'DEF_RATING_DIFF': 0.055553866884846426, 'W_PCT_L10_AWAY': -0.041835300866124636, 'OFF_RATING_DIFF': 0.039428061111194485, 'DAYS_REST_AWAY': -0.0355945153021978, 'OREB_PCT_HOME': 0.03262249449284659, 'hcp_tipoff': -0.024868262816107812, 'E_PACE_L10_DIFF': 0.023083249259173353, 'DEF_RATING_L10_DIFF': 0.02281535601385011, 'OREB_PCT_L10_AWAY': 0.014971403623816965, 'OREB_PCT_AWAY': 0.01089429089484447, 'DREB_PCT_L10_AWAY': 0.010824902670697367, 'W_PCT_L10_HOME': 0.01081619365444114, 'PIE_HOME': 0.01080996127199825, 'REB_PCT_HOME': 0.010538092151869356, 'NET_RATING_DIFF': 0.006880547350687128, 'E_NET_RATING_DIFF': 0.004968917584906166, 'TM_TOV_PCT_AWAY': -0.003538211788562469, 'E_NET_RATING_L10_DIFF': -0.0014262762168353834, 'TS_PCT_L10_AWAY': -0.0014027308491106874, 'EFG_PCT_AWAY': -0.001109236716763252, 'DREB_PCT_HOME': 0.0006376432821754549, 'REB_PCT_AWAY': -2.062241046016998e-05, 'REB_PCT_L10_AWAY': 3.87355838086235e-06, 'W_PCT_HOME': 0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': -0.0, 'TS_PCT_HOME': -0.0, 'elo_HOME': 0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': 0.0, 'DREB_PCT_L10_HOME': 0.0, 'REB_PCT_L10_HOME': 0.0, 'TM_TOV_PCT_L10_HOME': -0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': 0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': -0.0, 'TS_PCT_AWAY': 0.0, 'PIE_AWAY': 0.0, 'elo_AWAY': -0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': 0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': -0.0, 'E_DEF_RATING_L10_DIFF': -0.0, 'NET_RATING_L10_DIFF': 0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': 0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': 0.0, 'E_PACE_DIFF': -0.0, 'PACE_DIFF': -0.0, 'PACE_L10_DIFF': -0.0, 'PACE_PER40_DIFF': -0.0, 'PACE_PER40_L10_DIFF': -0.0}"
Oklahoma City Thunder,Minnesota Timberwolves,2023-12-26,-3.0,0.0,0.5219898127160452,0.4780101872839548,Low,"{'DAYS_REST_HOME': -0.11293422609409062, 'W_PCT_L10_AWAY': 0.08708704386769545, 'REB_PCT_AWAY': 0.06919664756937997, 'AST_PCT_HOME': -0.06828295731335221, 'DEF_RATING_DIFF': -0.04671150357272673, 'DREB_PCT_L10_AWAY': -0.045350752827877, 'TM_TOV_PCT_L10_AWAY': 0.04019868306196671, 'OREB_PCT_HOME': -0.039776136528386706, 'DAYS_REST_AWAY': 0.03704735266147119, 'OFF_RATING_DIFF': -0.027923030192210697, 'DEF_RATING_L10_DIFF': -0.01977340023489155, 'REB_PCT_HOME': -0.019054437051858168, 'PIE_HOME': -0.018706030375875406, 'W_PCT_L10_HOME': 0.015685545404081503, 'E_PACE_L10_DIFF': -0.010138614339726444, 'TS_PCT_L10_HOME': 0.007506798996076966, 'E_NET_RATING_L10_DIFF': 0.006681450461626811, 'OREB_PCT_AWAY': -0.006382998630019029, 'hcp_tipoff': 0.006005600884162053, 'DREB_PCT_HOME': -0.004915292883689029, 'TS_PCT_L10_AWAY': -0.0046886337702167265, 'E_NET_RATING_DIFF': 0.004519174493489816, 'TM_TOV_PCT_AWAY': 0.003151023131984905, 'OREB_PCT_L10_AWAY': -0.0019256096252710773, 'NET_RATING_DIFF': 0.0009585099240307773, 'EFG_PCT_AWAY': 0.0007978919299672676, 'REB_PCT_L10_AWAY': 8.842140678486907e-06, 'W_PCT_HOME': 0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': 0.0, 'TS_PCT_HOME': 0.0, 'elo_HOME': 0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': -0.0, 'DREB_PCT_L10_HOME': -0.0, 'REB_PCT_L10_HOME': -0.0, 'TM_TOV_PCT_L10_HOME': -0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': 0.0, 'W_PCT_AWAY': 0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': 0.0, 'TS_PCT_AWAY': 0.0, 'PIE_AWAY': 0.0, 'elo_AWAY': 0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': 0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': 0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': -0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': 0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': -0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': 0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': 0.0}"
San Antonio Spurs,Utah Jazz,2023-12-26,3.5,1.0,0.47403362618759426,0.5259663738124057,Good,"{'REB_PCT_AWAY': 0.1321214384601443, 'TS_PCT_L10_HOME': 0.11514189888499125, 'DAYS_REST_HOME': -0.11293422609409062, 'hcp_tipoff': -0.09433445614171505, 'AST_PCT_HOME': 0.08684411204516769, 'TM_TOV_PCT_L10_AWAY': 0.050306473623185397, 'DAYS_REST_AWAY': 0.03704735266147119, 'OFF_RATING_DIFF': 0.027507513977848428, 'OREB_PCT_HOME': -0.025296410324140043, 'PIE_HOME': 0.024817550528616228, 'OREB_PCT_AWAY': 0.01500793125790719, 'E_NET_RATING_DIFF': 0.01418865095894132, 'NET_RATING_DIFF': 0.014071592797341258, 'W_PCT_L10_HOME': -0.013530565093760674, 'E_NET_RATING_L10_DIFF': 0.012707463533456817, 'DREB_PCT_L10_AWAY': 0.010824902670697367, 'W_PCT_L10_AWAY': 0.009733637027403397, 'DEF_RATING_DIFF': -0.009414721405847, 'EFG_PCT_AWAY': -0.009119177033031396, 'TM_TOV_PCT_AWAY': 0.00905328923835025, 'OREB_PCT_L10_AWAY': 0.006100471668045733, 'DEF_RATING_L10_DIFF': 0.005098433414373576, 'DREB_PCT_HOME': 0.004709796470476082, 'REB_PCT_HOME': 0.004196835893927771, 'E_PACE_L10_DIFF': -0.002133346002642111, 'TS_PCT_L10_AWAY': -0.00022919409157282528, 'REB_PCT_L10_AWAY': 4.551092330538422e-06, 'W_PCT_HOME': -0.0, 'TM_TOV_PCT_HOME': 0.0, 'EFG_PCT_HOME': -0.0, 'TS_PCT_HOME': -0.0, 'elo_HOME': -0.0, 'AST_PCT_L10_HOME': 0.0, 'OREB_PCT_L10_HOME': -0.0, 'DREB_PCT_L10_HOME': 0.0, 'REB_PCT_L10_HOME': -0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': -0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': 0.0, 'DREB_PCT_AWAY': 0.0, 'TS_PCT_AWAY': -0.0, 'PIE_AWAY': -0.0, 'elo_AWAY': -0.0, 'AST_PCT_L10_AWAY': 0.0, 'EFG_PCT_L10_AWAY': -0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': -0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': 0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': 0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': 0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': 0.0}"
Houston Rockets,Indiana Pacers,2023-12-26,-3.0,1.0,0.45307341834651116,0.5469265816534888,Good,"{'DEF_RATING_DIFF': 0.1361630412455218, 'REB_PCT_AWAY': -0.10070028783568227, 'TS_PCT_L10_HOME': 0.07208785892942567, 'REB_PCT_HOME': 0.0549268859574607, 'OFF_RATING_DIFF': 0.04956052617453865, 'DAYS_REST_HOME': 0.04556995088007165, 'DAYS_REST_AWAY': 0.03704735266147119, 'DEF_RATING_L10_DIFF': 0.03644375801344745, 'OREB_PCT_HOME': 0.03262249449284659, 'DREB_PCT_L10_AWAY': 0.019853133018682433, 'W_PCT_L10_AWAY': -0.016050831919360617, 'E_PACE_L10_DIFF': 0.01587850775579751, 'W_PCT_L10_HOME': 0.015685545404081503, 'AST_PCT_HOME': -0.01277877653369818, 'EFG_PCT_AWAY': 0.011477812351658087, 'PIE_HOME': -0.010701693657807964, 'TM_TOV_PCT_L10_AWAY': -0.010340269744126745, 'E_NET_RATING_DIFF': -0.006949274337627077, 'hcp_tipoff': 0.006005600884162053, 'TM_TOV_PCT_AWAY': -0.005505633824017579, 'E_NET_RATING_L10_DIFF': -0.005261011807999931, 'OREB_PCT_L10_AWAY': 0.005255621005591334, 'DREB_PCT_HOME': 0.004154502853889626, 'TS_PCT_L10_AWAY': -0.0037498043641864326, 'NET_RATING_DIFF': -0.003694519482627779, 'OREB_PCT_AWAY': -0.001857994230650036, 'REB_PCT_L10_AWAY': 7.117332823739986e-07, 'W_PCT_HOME': 0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': -0.0, 'TS_PCT_HOME': -0.0, 'elo_HOME': 0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': 0.0, 'DREB_PCT_L10_HOME': 0.0, 'REB_PCT_L10_HOME': 0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': 0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': 0.0, 'DREB_PCT_AWAY': -0.0, 'TS_PCT_AWAY': 0.0, 'PIE_AWAY': 0.0, 'elo_AWAY': -0.0, 'AST_PCT_L10_AWAY': 0.0, 'EFG_PCT_L10_AWAY': 0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': -0.0, 'E_DEF_RATING_L10_DIFF': -0.0, 'NET_RATING_L10_DIFF': 0.0, 'AST_TO_DIFF': -0.0, 'AST_TO_L10_DIFF': -0.0, 'AST_RATIO_DIFF': -0.0, 'AST_RATIO_L10_DIFF': -0.0, 'E_PACE_DIFF': -0.0, 'PACE_DIFF': -0.0, 'PACE_L10_DIFF': -0.0, 'PACE_PER40_DIFF': -0.0, 'PACE_PER40_L10_DIFF': -0.0}"
New Orleans Pelicans,Memphis Grizzlies,2023-12-26,-5.0,0.0,0.5103009543628562,0.48969904563714384,Low,"{'TM_TOV_PCT_L10_AWAY': 0.12106100755171638, 'DAYS_REST_HOME': -0.11293422609409062, 'OFF_RATING_DIFF': -0.050572069745568264, 'REB_PCT_AWAY': -0.050360455123071225, 'REB_PCT_HOME': 0.04224437344157741, 'DAYS_REST_AWAY': 0.03704735266147119, 'hcp_tipoff': 0.03687946458443192, 'OREB_PCT_HOME': 0.0202113006034924, 'E_NET_RATING_DIFF': -0.018417723168743974, 'W_PCT_L10_AWAY': -0.016050831919360617, 'EFG_PCT_AWAY': -0.015603414431915133, 'NET_RATING_DIFF': -0.014481087652608984, 'AST_PCT_HOME': -0.01420196065625341, 'DEF_RATING_L10_DIFF': -0.013299909285082795, 'W_PCT_L10_HOME': 0.01081619365444114, 'E_PACE_L10_DIFF': 0.010675083336692747, 'PIE_HOME': -0.007199796343653493, 'E_NET_RATING_L10_DIFF': -0.00712359766656557, 'DREB_PCT_L10_AWAY': 0.006812355849370717, 'OREB_PCT_L10_AWAY': -0.005727437606315871, 'DEF_RATING_DIFF': -0.004602233384314255, 'TS_PCT_L10_AWAY': 0.003995538235563508, 'DREB_PCT_HOME': 0.003969404981694133, 'OREB_PCT_AWAY': -0.003914814412181397, 'TM_TOV_PCT_AWAY': 0.003151023131984905, 'TS_PCT_L10_HOME': -0.0003212082685713951, 'REB_PCT_L10_AWAY': 1.163422582158047e-06, 'W_PCT_HOME': 0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': 0.0, 'TS_PCT_HOME': 0.0, 'elo_HOME': 0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': 0.0, 'DREB_PCT_L10_HOME': 0.0, 'REB_PCT_L10_HOME': 0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': 0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': -0.0, 'TS_PCT_AWAY': -0.0, 'PIE_AWAY': -0.0, 'elo_AWAY': -0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': -0.0, 'PIE_L10_AWAY': -0.0, 'E_OFF_RATING_DIFF': 0.0, 'E_OFF_RATING_L10_DIFF': 0.0, 'OFF_RATING_L10_DIFF': 0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': 0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': 0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': 0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': -0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': -0.0}"
Portland Trail Blazers,Sacramento Kings,2023-12-26,8.0,0.0,0.5216752251681117,0.4783247748318883,Low,"{'hcp_tipoff': -0.16380064946732223, 'DAYS_REST_HOME': -0.11293422609409062, 'AST_PCT_HOME': -0.09674663976445684, 'TS_PCT_L10_HOME': 0.09557188072337043, 'OREB_PCT_HOME': 0.09054139930983332, 'OFF_RATING_DIFF': 0.042408197894531, 'TM_TOV_PCT_L10_AWAY': -0.0406636414277829, 'DAYS_REST_AWAY': -0.0355945153021978, 'W_PCT_L10_AWAY': 0.0355181059741674, 'REB_PCT_AWAY': -0.03148301785584213, 'DREB_PCT_L10_AWAY': -0.03130683895323337, 'PIE_HOME': 0.030820803067166808, 'E_NET_RATING_DIFF': 0.017561724144563938, 'NET_RATING_DIFF': 0.017244112847335732, 'DEF_RATING_L10_DIFF': -0.016707009784982126, 'W_PCT_L10_HOME': -0.013530565093760674, 'OREB_PCT_AWAY': -0.011730731102000565, 'E_NET_RATING_L10_DIFF': 0.011283133171024272, 'REB_PCT_HOME': 0.006310587979908299, 'E_PACE_L10_DIFF': 0.006272185751296357, 'OREB_PCT_L10_AWAY': -0.00614986293754307, 'TS_PCT_L10_AWAY': -0.004453926418709158, 'DREB_PCT_HOME': -0.0039898035227116085, 'TM_TOV_PCT_AWAY': -0.0039316961956534875, 'DEF_RATING_DIFF': 0.0038196206533682724, 'EFG_PCT_AWAY': 0.0015607433886594706, 'REB_PCT_L10_AWAY': 3.87355838086235e-06, 'W_PCT_HOME': -0.0, 'TM_TOV_PCT_HOME': 0.0, 'EFG_PCT_HOME': -0.0, 'TS_PCT_HOME': -0.0, 'elo_HOME': -0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': 0.0, 'DREB_PCT_L10_HOME': -0.0, 'REB_PCT_L10_HOME': -0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': -0.0, 'PIE_L10_HOME': -0.0, 'W_PCT_AWAY': 0.0, 'AST_PCT_AWAY': 0.0, 'DREB_PCT_AWAY': 0.0, 'TS_PCT_AWAY': 0.0, 'PIE_AWAY': -0.0, 'elo_AWAY': 0.0, 'AST_PCT_L10_AWAY': 0.0, 'EFG_PCT_L10_AWAY': 0.0, 'PIE_L10_AWAY': 0.0, 'E_OFF_RATING_DIFF': -0.0, 'E_OFF_RATING_L10_DIFF': -0.0, 'OFF_RATING_L10_DIFF': -0.0, 'E_DEF_RATING_DIFF': 0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': -0.0, 'AST_TO_DIFF': -0.0, 'AST_TO_L10_DIFF': -0.0, 'AST_RATIO_DIFF': -0.0, 'AST_RATIO_L10_DIFF': -0.0, 'E_PACE_DIFF': -0.0, 'PACE_DIFF': -0.0, 'PACE_L10_DIFF': -0.0, 'PACE_PER40_DIFF': -0.0, 'PACE_PER40_L10_DIFF': -0.0}"
LA Clippers,Charlotte Hornets,2023-12-26,-12.0,0.0,0.5031480891691086,0.4968519108308914,Low,"{'hcp_tipoff': 0.14493798753537648, 'DAYS_REST_HOME': -0.11293422609409062, 'DAYS_REST_AWAY': 0.10968922062514018, 'REB_PCT_AWAY': -0.10070028783568227, 'W_PCT_L10_AWAY': -0.09340423875965265, 'DEF_RATING_DIFF': 0.08563191701942678, 'TS_PCT_L10_HOME': -0.06490226820192026, 'AST_PCT_HOME': -0.05547430021035512, 'OREB_PCT_HOME': 0.049170753011985716, 'REB_PCT_HOME': 0.048585629699518997, 'OFF_RATING_DIFF': -0.04461179617889525, 'DREB_PCT_L10_AWAY': 0.034900183598657826, 'E_NET_RATING_DIFF': -0.02876181427132, 'NET_RATING_DIFF': -0.028228674535918357, 'W_PCT_L10_HOME': 0.020554897153721864, 'TM_TOV_PCT_L10_AWAY': 0.01998310193952941, 'E_NET_RATING_L10_DIFF': -0.01840867669199267, 'PIE_HOME': -0.011702235747566417, 'OREB_PCT_L10_AWAY': -0.011641392243496685, 'EFG_PCT_AWAY': -0.00950060276237751, 'TS_PCT_L10_AWAY': 0.007046733805161937, 'OREB_PCT_AWAY': -0.003914814412181397, 'DEF_RATING_L10_DIFF': -0.0023971876854049627, 'DREB_PCT_HOME': 0.0006376432821754549, 'E_PACE_L10_DIFF': -0.0005322923352252899, 'TM_TOV_PCT_AWAY': -0.0003903365318342975, 'REB_PCT_L10_AWAY': -6.515295514170786e-06, 'W_PCT_HOME': 0.0, 'TM_TOV_PCT_HOME': -0.0, 'EFG_PCT_HOME': 0.0, 'TS_PCT_HOME': 0.0, 'elo_HOME': 0.0, 'AST_PCT_L10_HOME': -0.0, 'OREB_PCT_L10_HOME': 0.0, 'DREB_PCT_L10_HOME': -0.0, 'REB_PCT_L10_HOME': 0.0, 'TM_TOV_PCT_L10_HOME': 0.0, 'EFG_PCT_L10_HOME': 0.0, 'PIE_L10_HOME': 0.0, 'W_PCT_AWAY': -0.0, 'AST_PCT_AWAY': -0.0, 'DREB_PCT_AWAY': -0.0, 'TS_PCT_AWAY': -0.0, 'PIE_AWAY': -0.0, 'elo_AWAY': -0.0, 'AST_PCT_L10_AWAY': -0.0, 'EFG_PCT_L10_AWAY': -0.0, 'PIE_L10_AWAY': -0.0, 'E_OFF_RATING_DIFF': 0.0, 'E_OFF_RATING_L10_DIFF': 0.0, 'OFF_RATING_L10_DIFF': 0.0, 'E_DEF_RATING_DIFF': -0.0, 'E_DEF_RATING_L10_DIFF': 0.0, 'NET_RATING_L10_DIFF': 0.0, 'AST_TO_DIFF': 0.0, 'AST_TO_L10_DIFF': 0.0, 'AST_RATIO_DIFF': 0.0, 'AST_RATIO_L10_DIFF': 0.0, 'E_PACE_DIFF': 0.0, 'PACE_DIFF': 0.0, 'PACE_L10_DIFF': 0.0, 'PACE_PER40_DIFF': 0.0, 'PACE_PER40_L10_DIFF': 0.0}"
