,GP_HOME,W_PCT_HOME,AST_PCT_HOME,OREB_PCT_HOME,DREB_PCT_HOME,REB_PCT_HOME,TM_TOV_PCT_HOME,EFG_PCT_HOME,TS_PCT_HOME,PIE_HOME,SEASON_YEAR,GAME_DATE,PTS_HOME,WL_HOME,elo_HOME,DAYS_REST_HOME,GAME_ID,W_PCT_L10_HOME,AST_PCT_L10_HOME,OREB_PCT_L10_HOME,DREB_PCT_L10_HOME,REB_PCT_L10_HOME,TM_TOV_PCT_L10_HOME,EFG_PCT_L10_HOME,TS_PCT_L10_HOME,PIE_L10_HOME,GP_AWAY,W_PCT_AWAY,AST_PCT_AWAY,OREB_PCT_AWAY,DREB_PCT_AWAY,REB_PCT_AWAY,TM_TOV_PCT_AWAY,EFG_PCT_AWAY,TS_PCT_AWAY,PIE_AWAY,PTS_AWAY,WL_AWAY,elo_AWAY,DAYS_REST_AWAY,W_PCT_L10_AWAY,AST_PCT_L10_AWAY,OREB_PCT_L10_AWAY,DREB_PCT_L10_AWAY,REB_PCT_L10_AWAY,TM_TOV_PCT_L10_AWAY,EFG_PCT_L10_AWAY,TS_PCT_L10_AWAY,PIE_L10_AWAY,hcp_tipoff,home_cover_spread,E_OFF_RATING_DIFF,E_OFF_RATING_L10_DIFF,OFF_RATING_DIFF,OFF_RATING_L10_DIFF,E_DEF_RATING_DIFF,E_DEF_RATING_L10_DIFF,DEF_RATING_DIFF,DEF_RATING_L10_DIFF,E_NET_RATING_DIFF,E_NET_RATING_L10_DIFF,NET_RATING_DIFF,NET_RATING_L10_DIFF,AST_TO_DIFF,AST_TO_L10_DIFF,AST_RATIO_DIFF,AST_RATIO_L10_DIFF,E_PACE_DIFF,E_PACE_L10_DIFF,PACE_DIFF,PACE_L10_DIFF,PACE_PER40_DIFF,PACE_PER40_L10_DIFF,TEAM_NAME_HOME,TEAM_NAME_AWAY,date_index
11,11.0,0.364,0.651,0.345,0.725,0.533,0.177,0.537,0.572,0.476,2023-24,2023-11-17,128,L,1429.8109698959458,3.0,22300035,0.4,0.663,0.348,0.726,0.533,0.181,0.541,0.575,0.477,11.0,0.455,0.633,0.311,0.715,0.52,0.161,0.541,0.585,0.513,131,W,1559.9083057420664,2.0,0.4,0.642,0.301,0.725,0.519,0.158,0.546,0.591,0.509,5.5,1.0,-0.8999999999999915,-1.7000000000000028,-1.8999999999999915,-2.299999999999997,5.800000000000011,4.099999999999994,4.900000000000006,3.200000000000003,-6.6,-5.7,-6.9,-5.5,-0.08000000000000007,-0.11999999999999988,0.40000000000000213,0.3999999999999986,2.0,2.200000000000003,2.8900000000000006,2.8300000000000125,2.4099999999999966,2.3599999999999994,Utah Jazz,Phoenix Suns,2023-11-17
12,12.0,0.333,0.649,0.34,0.725,0.53,0.169,0.542,0.578,0.475,2023-24,2023-11-19,137,L,1424.8235309487975,2.0,22300214,0.3,0.661,0.336,0.72,0.528,0.176,0.549,0.583,0.474,12.0,0.5,0.646,0.309,0.715,0.519,0.155,0.548,0.592,0.514,140,W,1564.8957446892148,2.0,0.5,0.671,0.303,0.715,0.514,0.144,0.56,0.606,0.516,5.0,1.0,-0.5,-4.300000000000011,-2.0,-5.700000000000003,5.099999999999994,1.4000000000000057,4.599999999999994,1.0999999999999943,-5.699999999999999,-5.6,-6.699999999999999,-6.7,-0.11999999999999988,-0.3799999999999999,0.0,-0.5999999999999979,1.7999999999999972,2.5999999999999943,2.6499999999999915,3.2700000000000102,2.210000000000008,2.730000000000004,Utah Jazz,Phoenix Suns,2023-11-19
13,14.0,0.571,0.62,0.248,0.704,0.491,0.149,0.544,0.582,0.516,2023-24,2023-11-21,131,W,1564.3111428124687,2.0,22300042,0.6,0.616,0.253,0.689,0.489,0.154,0.556,0.593,0.521,13.0,0.308,0.642,0.355,0.722,0.535,0.169,0.536,0.574,0.473,99,L,1420.0285905845444,2.0,0.3,0.651,0.358,0.714,0.535,0.173,0.545,0.581,0.48,-7.5,1.0,-3.799999999999997,-3.0,-3.5,-2.8999999999999915,-8.5,-6.0,-6.6000000000000085,-4.299999999999997,4.6000000000000005,3.1,3.0,1.4,0.11999999999999988,0.08999999999999986,0.10000000000000142,-0.09999999999999787,-0.10000000000000853,-0.4000000000000057,-1.2299999999999898,-1.289999999999992,-1.0300000000000011,-1.0700000000000074,Los Angeles Lakers,Utah Jazz,2023-11-21
14,14.0,0.214,0.559,0.311,0.688,0.485,0.163,0.486,0.525,0.417,2023-24,2023-11-22,121,W,1348.5549084813786,1.0,22300237,0.2,0.589,0.301,0.698,0.481,0.161,0.49,0.528,0.42,14.0,0.286,0.643,0.347,0.723,0.528,0.166,0.529,0.566,0.461,105,L,1412.4811513867387,1.0,0.3,0.645,0.346,0.708,0.525,0.173,0.54,0.579,0.468,3.5,1.0,-10.199999999999989,-11.399999999999991,-8.5,-9.599999999999994,-5.199999999999989,-3.700000000000003,-5.0,-4.299999999999997,-5.0,-7.7,-3.499999999999999,-5.3,-0.26,-0.13000000000000012,-2.700000000000001,-2.099999999999998,-2.3999999999999915,-2.9000000000000057,-3.4099999999999966,-3.530000000000001,-2.8500000000000085,-2.9399999999999977,Portland Trail Blazers,Utah Jazz,2023-11-22
15,15.0,0.267,0.645,0.351,0.72,0.53,0.171,0.529,0.567,0.461,2023-24,2023-11-25,105,W,1400.2305665727731,3.0,22300243,0.2,0.637,0.358,0.709,0.528,0.177,0.527,0.569,0.452,16.0,0.563,0.609,0.271,0.714,0.496,0.138,0.538,0.572,0.503,100,L,1536.3266265328555,1.0,0.5,0.621,0.28,0.753,0.521,0.142,0.555,0.588,0.511,3.0,1.0,0.0,-2.5999999999999943,-0.3999999999999915,-3.6000000000000085,7.800000000000011,8.600000000000009,7.6000000000000085,8.400000000000006,-7.8,-11.2,-8.0,-12.1,-0.30000000000000004,-0.42999999999999994,0.0,-1.2000000000000028,-0.3999999999999915,-1.5,-0.09000000000000341,-0.8900000000000006,-0.06999999999999318,-0.7400000000000091,Utah Jazz,New Orleans Pelicans,2023-11-25
16,16.0,0.313,0.643,0.352,0.721,0.532,0.175,0.529,0.566,0.463,2023-24,2023-11-27,114,W,1408.227378307201,2.0,22300256,0.3,0.632,0.363,0.705,0.53,0.183,0.527,0.569,0.455,17.0,0.529,0.619,0.27,0.709,0.492,0.138,0.535,0.567,0.502,112,L,1528.3298147984276,2.0,0.5,0.646,0.281,0.747,0.517,0.143,0.546,0.578,0.521,6.0,1.0,0.0,-1.7000000000000028,-0.09999999999999432,-2.200000000000003,7.299999999999997,10.700000000000003,6.799999999999997,10.699999999999989,-7.2,-12.4,-6.9,-12.8,-0.3800000000000001,-0.53,-0.3000000000000007,-1.6999999999999993,-0.3999999999999915,-1.9000000000000057,-0.09000000000000341,-1.5300000000000011,-0.07000000000000739,-1.2800000000000011,Utah Jazz,New Orleans Pelicans,2023-11-27
17,16.0,0.188,0.626,0.29,0.717,0.488,0.142,0.495,0.529,0.443,2023-24,2023-11-29,105,W,1505.3479835324736,3.0,22300261,0.3,0.629,0.305,0.701,0.486,0.134,0.488,0.524,0.436,17.0,0.353,0.653,0.347,0.722,0.53,0.171,0.528,0.566,0.465,91,L,1413.4220405525327,2.0,0.4,0.655,0.352,0.706,0.527,0.175,0.534,0.577,0.472,-3.5,1.0,-8.100000000000009,-8.700000000000003,-6.3999999999999915,-6.5,-5.299999999999997,-5.599999999999994,-4.299999999999997,-4.799999999999997,-2.700000000000001,-3.1000000000000005,-2.1000000000000005,-1.7000000000000002,0.15999999999999992,0.30000000000000004,-1.0999999999999979,-1.1999999999999993,0.0,-1.0,-1.3300000000000125,-2.4200000000000017,-1.1099999999999994,-2.019999999999996,Memphis Grizzlies,Utah Jazz,2023-11-29
18,17.0,0.765,0.613,0.284,0.707,0.51,0.155,0.552,0.59,0.552,2023-24,2023-11-30,101,W,1522.4056739562961,2.0,22300270,0.8,0.625,0.289,0.695,0.506,0.154,0.552,0.598,0.541,18.0,0.333,0.658,0.346,0.718,0.526,0.173,0.525,0.562,0.461,90,L,1407.8730604347627,1.0,0.4,0.652,0.347,0.697,0.518,0.171,0.524,0.565,0.467,-11.5,0.0,1.8000000000000114,3.299999999999997,1.5,2.0999999999999943,-13.0,-8.0,-11.300000000000011,-6.900000000000006,14.8,11.3,12.8,8.9,0.09000000000000008,0.11999999999999988,-0.29999999999999716,0.10000000000000142,-0.4000000000000057,-0.10000000000000853,-1.1000000000000085,-0.13000000000000966,-0.9200000000000017,-0.10999999999999943,Minnesota Timberwolves,Utah Jazz,2023-11-30
19,19.0,0.316,0.658,0.346,0.72,0.528,0.175,0.521,0.558,0.459,2023-24,2023-12-02,118,W,1403.6378504369723,2.0,22300289,0.4,0.662,0.344,0.706,0.52,0.171,0.516,0.557,0.468,18.0,0.333,0.573,0.313,0.677,0.485,0.168,0.5,0.537,0.438,113,L,1360.8054932953441,2.0,0.3,0.607,0.321,0.661,0.478,0.174,0.513,0.543,0.428,-1.5,1.0,5.699999999999989,5.199999999999989,5.200000000000003,5.0,5.799999999999997,1.2000000000000028,5.1000000000000085,1.2999999999999972,-0.09999999999999964,3.9000000000000004,0.10000000000000053,3.5999999999999996,0.16999999999999993,0.1399999999999999,2.1000000000000014,1.0,1.0999999999999943,0.20000000000000284,1.7999999999999972,0.3499999999999943,1.5,0.28999999999999204,Utah Jazz,Portland Trail Blazers,2023-12-02
20,19.0,0.579,0.596,0.267,0.688,0.472,0.117,0.552,0.582,0.49,2023-24,2023-12-06,147,W,1466.8707025794888,4.0,22301213,0.4,0.607,0.269,0.698,0.472,0.106,0.525,0.554,0.465,20.0,0.35,0.654,0.348,0.721,0.53,0.175,0.521,0.558,0.464,97,L,1407.4941562590077,4.0,0.4,0.651,0.351,0.713,0.526,0.168,0.505,0.544,0.463,-11.5,1.0,6.700000000000003,5.299999999999997,6.900000000000006,4.6000000000000085,-0.29999999999999716,4.199999999999989,0.5999999999999943,4.5,7.0,1.2000000000000002,6.3,0.0,0.6400000000000001,0.8499999999999999,-0.3000000000000007,0.10000000000000142,1.2000000000000028,2.200000000000003,0.7399999999999949,2.4099999999999966,0.6200000000000045,2.010000000000005,Dallas Mavericks,Utah Jazz,2023-12-06
